,affenpinscher,afghan_hound,airedaleterrier,akita,alaskanmalamute,americancockerspaniel,americaneskimodog,australian_terrier,basenji,bassethound,beagle,beardedcollie,bedlington_terrier,belgiansheepdoggroenendael,belgiansheepdoglaekenois,belgiansheepdogmalinois,belgiansheepdogtervuren,bernese_mountain_dog,bichonfrise,black-and-tan_coonhound,bloodhound,border_collie,border_terrier,borzoi,bostonterrier,boxer,brittanydog,brusselsgriffonr,bull_mastiff,bulldog,bullterrier,cairnterrier,caucasianavtcharka,chesapeake_bay_retriever,chihuahua,chinesecrested,chinesesharpei,chowchow,clumberspaniel,collie,curly-coated_retriever,dachshunds,dalmatian,dandiedinmontterrier,dobermanpinscher,english_setter,englishcockerspaniel,englishspringerspaniel,fieldspaniel,flat-coated_retriever,french_bulldog,german_short-haired_pointer,germanshepherddog,giant_schnauzer,golden_retriever,great_dane,great_pyrenees,greyhound,irish_setter,irish_terrier,irish_water_spaniel,irish_wolfhound,italian_greyhound,jackrusselterrier,japanesechin,japanesespitz,jindodog,kerry_blue_terrier,komondor,kuvasz,labrador_retriever,lakeland_terrier,lhasaapso,maltese,manchesterterriers,mastiff,miniature_pinscher,miniature_schnauzer,newfoundland,norfolk_terrier,norwegian_elkhound,norwich_terrier,old_english_sheepdog,papillon,pekingese,pointer,pomeranian,poodle,poongsandog,pug,puli,rhodesian_ridgeback,rottweiler,saint_bernard,saluki,samoyed,sapsaree,scottishterrier,sealyham_terrier,shetland_sheepdog,shiba,shih-tzu,siberian_husky,silky_terrier,skyeterrier,soft-coated_wheaten_terrier,southrussianovtcharka,staffordshire_bullterrier,sussex_spaniel,tibetan_mastiff,tibetan_terrier,tibetanspaniel,toymanchesterterrier,vizsla,weimaraner,welshcorgi,welshterrier,west_highland_white_terrier,whippet,wirehairedpointinggriffon,yorkshire_terrier
affenpinscher,0,8,0,6,0,0,0,1,7,4,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afghan_hound,0,21,0,10,0,0,0,8,7,1,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airedaleterrier,0,7,0,9,0,0,0,2,3,1,11,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akita,0,12,0,2,0,0,0,4,4,6,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alaskanmalamute,0,13,0,7,0,0,0,0,4,2,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americancockerspaniel,0,17,0,4,0,0,0,1,2,2,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americaneskimodog,0,6,0,4,0,0,0,3,2,1,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
australian_terrier,0,14,0,9,0,0,0,6,6,2,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basenji,0,15,0,7,0,0,0,6,4,6,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bassethound,0,10,0,4,0,0,0,1,6,4,8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
